17 Marzo,2/10|Panna Liquida|Alcune Gocce|Liquore Allo Zabaglione|2/10|Vanil Zucca|3/10|Illycaffè Espresso|3/10|China Martini
Accordo,2/5|Champagne|1/5|Vodka|1/5|Whisky Americano|1/5|Whisky
Ace,4 Cucchiai|Vodka Keglevich|1 Cucchiaio|Brandy Stock 84|1 Cucchiaio|Curacao Blu||Per Servire:|1|Ciliegina Al Maraschino|1 Sprizzo|Buccia D'arancia
Aceto,100 Cl|Vino|25 Cl|Aceto Di Vino|1|Panino (mollica) (facoltativo)
Aceto (2),1 Bottiglia|Vino
Aceto Agli Aromi E Peperoncino,100 Cl|Aceto Di Vino|6|Peperoncini|1 Spicchio|Aglio|1 Pizzico|Sale|1 Rametto|Rosmarino
Aceto Al Dragoncello,100 G|Foglie Di Dragoncello|100 Cl|Aceto Di Vino Bianco
Aceto All'aglio,100 Cl|Aceto Di Vino|6 Spicchi|Aglio
Aceto Alle Erbe,Alcuni Spicchi|Aglio|Alcuni Spicchi|Scalogno|1 Mazzetto|Erbe Miste (maggiorana,, Erba Cipollina, Salvia)|100 Cl|Aceto Di Vino,,,
Aceto Aromatico,50 Cl|Aceto Di Vino||Aromi
Aceto Aromatico Per Carni Crude,50 Cl|Aceto Di Vino||Lamponi
Aceto Aromatico Per Insalate,50 Cl|Aceto Di Vino||Menta||Dragoncello||Capperi (o Basilico)
Aceto Aromatico Per Insalate Con La Frutta,50 Cl|Aceto Di Vino||Cannella||Chiodi Di Garofano||Scorza Di Limone||Senape In Grani
Aceto Aromatico Per Insalate Delicate,50 Cl|Aceto Di Vino||Petali Di Rosa
Aceto Aromatico Per Marinate,50 Cl|Aceto Di Vino||Ginepro
Aceto Aromatico Per Pesci,50 Cl|Aceto Di Vino||Aglio||Cerfoglio
Aceto Bianco,1 Bottiglia|Vino Bianco
Aceto Di Agrumi,3|Arance|50 Cl|Aceto Di Vino
Aceto Di Agrumi (2),3|Limoni|50 Cl|Aceto Di Vino
Aceto Di Arance,3|Arance|50 Cl|Aceto Di Vino
Aceto Di Limoni,3|Limoni|50 Cl|Aceto Di Vino
Aceto Profumato,100 Cl|Aceto Di Vino|Alcune Foglie|Basilico|Alcune Foglie|Insalata Rucola|1 Manciata|Origano|1 Pizzico|Pepe|1 Pizzico|Noce Moscata||Sale
Aceto Rosso,1 Bottiglia|Vino Rosso
Aceto Rosso Schiarito,1 Bottiglia|Vino Rosso|10 Cl|Latte Caldo
Aceto Siciliano,100 Cl|Aceto Di Vino Rosso||Capperi Dissalati||Basilico
Acini D'uva Caramellati,2|Grappoli D'uva|500 G|Zucchero|1/2 Cucchiaino|Cremortartaro
Acqua Cotta,8 Fette|Pane Casereccio Raffermo||Olio D'oliva Extra-vergine|1|Cipolla|4|Pomodori Da Sugo|Alcune Foglie|Menta Selvatica (mentuccia)||Sale||Pepe
Acqua Cotta (2),2|Peperoni Rossi Dolci|2|Cipolle|500 G|Pomodori||Olio D'oliva||Sale|1 Costa Grande|Sedano|3|Uova||Formaggio Parmigiano||Pane Tostato
Acqua Cotta (3),2|Cipolle|2|Pomodori|1 Gambo|Sedano|4|Uova|Alcune Foglie|Rosmarino||Olio D'oliva Extra-vergine||Sale|Alcune Fette|Pane Casereccio
Acqua Cotta (4),Poco|Olio D'oliva|3|Cipolle Grandi|6 Gambi|Sedano|Alcune Foglie|Sedano|750 G|Pomodori||Sale||Pepe|8 Fette|Pane Raffermo|4|Uova|Abbondante|Formaggio Parmigiano Grattugiato (o Formaggio Pecorino Grattugiato)
Acqua Cotta (5),Poco|Olio D'oliva|3|Cipolle Grandi|6 Gambi|Sedano|Alcune Foglie|Sedano|450 G|Pomodori|300 G|Peperoni Rossi Dolci||Sale||Pepe|8 Fette|Pane Raffermo|4|Uova|Abbondante|Formaggio Parmigiano Grattugiato (o Formaggio Pecorino Grattugiato)
Acqua Cotta Vetrallese,1000 G|Insalata Cicoria|8|Uova||Olio D'oliva||Sale||Pepe|8 Fette|Pane
Acqua Di Cumino,2 Cucchiai|Semi Di Cumino|57 Cl|Acqua|3|Peperoncini Rossi Essiccati|15 G|Foglie Di Menta Fresca Tritata|1 Cucchiaino|Sale|1 Cucchiaino|Zucchero|1 Cucchiaio|Succo Di Limone
Acqua Di Fiori Di Gelsomino,1 Manciata|Gelsomini (corolle Dei Fiori)||Acqua
Acqua Di Perfetto Amore,320 G|Alcool A 95 Gradi|1|Scorza D'arancia|1|Scorza Di Cedro|1|Scorza Di Limone|7 G|Cannella|1|Chiodo Di Garofano|240 G|Zucchero
Acquacotta Toscana Con I Funghi,600 G|Funghi Misti Di Bosco|400 G|Pomodori|4 Fette|Pane Casereccio|4|Uova||Formaggio Pecorino Dolce Grattugiato|3 Spicchi|Aglio|2 Cucchiai|Olio D'oliva||Nepitella||Sale||Pepe
Acquasala,4 Fette|Pane Di Altamura Raffermo|100 G|Olio D'oliva Extra-vergine Leggermente Fruttato|15|Pomodorini Tipici Pugliesi|2 Spicchi|Aglio|Alcune Foglie|Basilico||Origano||Sale
Acrats Di Gamberi Alla Giamaicana,250 G|Gamberetti Sgusciati|150 G|Farina|1 Foglia|Alloro|1|Uovo|1|Albume D'uovo|2|Chiodi Di Garofano|2|Limoni|1 Cucchiaio|Olio D'oliva|400 G|Olio D'arachidi|2|Porri||Sale||Pepe
Ada,3 Cucchiai|Vodka Keglevich|2 Cucchiai|Vermouth Martini Dry|1 Cucchiaio|Cordial Campari|1 Spruzzo|Rum Scuro|1|Scorzetta D'arancia Strizzata In Superficie
Adam,2/3|Rum Scuro|1/3|Succo Di Limone|1 Cucchiaio|Granatina
Adam (2),3 Cucchiai|Calvados|1 Cucchiaio|Galliano|1 Cucchiaio|Mandarinetto Isolabella|4 Cucchiai|Succo D'ananas|4 Cucchiai|Succo D'arancia||Per Decorare:|Alcuni Pezzetti|Ananas|1|Ciliegina|1 Spicchio|Mela
Adam And Eve,1/3|Brandy|1/3|Gin|1/3|Mela|1 Spruzzo|Succo Di Limone
Adone,2/3|Sherry Dry|1/3|Vermouth Dolce|4 Gocce|Angostura
Adonis,2/3|Sherry Dry|1/3|Vermouth Rosso|1 Goccia|Orange Bitter
Adonis (2),60 G|Sherry Dry|20 G|Vermouth Rosso|2 Gocce|Orange Bitter
Adonis (3),4 Cubetti|Ghiaccio|6 Cl|Sherry Dry|3 Cl|Vermouth Rosso|1 Spruzzo|Orange Bitter
Adonis (4),2/3|Sherry|1/3|Vermouth Rosso
Adonis (5),2/3|Sherry Dry|1/3|Vermouth Rosso|1 Spruzzo|Orange Bitter
Adonis (6),4 Cucchiai|Sherry Dry|2 Cucchiai|Vermouth Rosso|1 Spruzzo|Orange Bitter
Adri,4/10|Frangelico|3/10|Kahlua|3/10|Panna Liquida||Per Guarnire:||Polvere Di Cacao
Adriana,4 Cucchiai|Cordial|1 Cucchiaio|Cedrata|1/2 Bottiglietta|Bitter Limone Schweppes||Per Decorare:|Alcuni Pezzetti|Frutta Di Stagione
Adriatico,1/10|Crema Cacao Bianca|3/10|Crema Di Menta Verde|6/10|Vodka|2 Gocce|Limone||Per Servire:|1 Fetta|Limone|1 Spruzzo|Seltz Freddo
Affair,4/12|Schnapps|4/12|Succo D'arancia|4/12|Succo Di Mirtilli||Soda
Affinity,2/4|Whisky|1/4|Vermouth Dry|1/4|Vermouth Dolce (bianco)|Alcune Gocce|Angostura
Affinity (2),2/4|Scotch Whisky|1/4|Vermouth Dry|1/4|Vermouth Rosso|3 Gocce|Angostura
Affinity (3),40 G|Scotch Whisky|20 G|Vermouth Dry|20 G|Vermouth Rosso|3 Gocce|Angostura
Affinity (4),2/4|Scotch Whisky|1/4|Vermouth Dry|1/4|Vermouth Rosso|2 Gocce|Angostura
Affinity (5),4 Cubetti|Ghiaccio|5 Cl|Scotch Whisky|3 Cl|Vermouth Dry|3 Cl|Vermouth Rosso|1 Spruzzo|Angostura
Affinity (6),1/4|Vermouth Dry|1/4|Vermouth Rosso|2/4|Whisky|2 Gocce|Angostura
Affogato Al Kiwi,500 G|Base Per Gelati Alla Crema (v. Ricetta)|4|Kiwi|1|Limone|1 Bicchiere|Latte|1 Bicchierino|Rum|1 Cucchiaio|Zucchero|100 G|Cioccolato Fondente||Mandorle
Affogato Alla Banana,500 G|Gelato Alla Vaniglia|1|Limone||Zucchero|1 Tavoletta|Cioccolato Fondente|2|Banane||Rum|1 Cucchiaio|Mandorle|1 Bicchiere|Latte
Affogato Alla Banana (2),500 G|Gelato Alla Vaniglia|1|Limone||Zucchero||Cioccolato Fondente|2|Banane Mature||Rum|1 Cucchiaio|Mandorle Pelate|1 Bicchiere|Latte
Africa,1/10|Coky Drink Boero|3/10|Midori|3/10|Myers's Rum|1/10|Succo D'ananas|2/10|Succo Di Pompelmo||Per Guarnire:||Frutta Di Stagione
Afrodisiaco,|Vino Porto|8 Gocce|Curacao|2 Zollette|Zucchero||Per Servire:|1 Fettina|Limone||Noce Moscata
Afrodite,5/10|Vodka Francoli|3/10|Cointreau|2/10|Succo D'arancia|Alcune Gocce|Granatina Francoli||Per Decorare:|1|Ciliegina|1 Foglia|Ananas
After,2/3|Cherry Brandy|1/3|Grand Marnier|1 Cucchiaio|Succo Di Limone||Per Servire:|1|Scorza Di Limone
After Dinner,4 Cubetti|Ghiaccio|2 Cl|Acquavite Di Ciliegie|2 Cl|Brandy|2 Cl|Liquore Alla Menta|2 Cucchiaini|Granatina
After Dinner (2),1/2|Prunella|1/2|Cherry Brandy
After Dinner (3),3 Cucchiai|Prunella|3 Cucchiai|Cherry Brandy
After Dinner Cocktail,1/2|Apricot Brandy|1/2|Triple Sec||Succo Di Limone
After Five,6/10|Gordon's Gin|2/10|Aperol|1/10|Vermouth Dry Martini|1/10|Fruit Vodka Pompelmo Boero|1 Spruzzo|Scorza D'arancia||Per Decorare:|1|Ciliegina
After Supper,2/3|Apricot Brandy|1/3|Curacao|1 Cucchiaio|Grand Marnier|2 Spruzzi|Succo Di Limone
After Supper Cocktail,2/4|Triple Sec|2/4|Apricot Brandy|1/2 Cucchiaio|Succo Di Limone
After Ten,4/10|Kahlua|3/10|China Martini|3/10|Menta Bianca Get 31||Per Guarnire:||Cioccolatini Alla Menta
Afternoon Cocktail,1/3|Maraschino|1/3|Fernet Branca|1/3|Cognac||Per Completare:||Acqua Gassata||Per Decorare:|Alcune Fettine|Arancia
Agghiotta Di Pesce Spada,1000 G|Pesce Spada|1|Cipolla|1 Spicchio|Aglio|Alcune Foglie|Alloro|500 G|Polpa Di Pomodoro||Prezzemolo|Alcuni|Capperi Sotto Sale|1 Spruzzata|Vino Bianco||Farina||Olio D'oliva Extra-vergine|1 Pizzico|Sale
Agghiotta Di Pesce Spada (2),4 Fette|Pesce Spada|300 G|Pomodori Maturi|6 Cucchiai|Olio D'oliva Extra-vergine|1|Cipolla|1 Spicchio|Aglio|30 G|Uvetta Sultanina|30 G|Pinoli|1 Cucchiaio|Capperi|50 G|Olive Verdi Snocciolate|1/2 Cucchiaio|Prezzemolo Tritato||Sale||Pepe
Agliata,6 Spicchi|Aglio|2|Panini (mollica Bagnata In Aceto Di Vino Bianco)|1 Bicchiere|Aceto Di Vino Bianco|Poco|Vino Bianco Secco||Sale
Agliata (2),|Olio D'oliva Extra-vergine|8 Spicchi|Aglio||Mollica Di Pane||Aceto Di Mele||Sale Marino
Aglio E Olio Salsa Per Verdure E Pesce,8 Spicchi|Aglio|3|Limoni|4 Cucchiai|Olio D'oliva||Sale
Aglioli,|Cotechini Aromatizzati All'aglio||Lenticchie|1|Cipolla|2|Chiodi Di Garofano||Sale
Agnello Agli Champignon,2|Filetti D'agnello|300 G|Funghi Champignon|60 G|Burro||Farina|1 Spicchio|Aglio||Prezzemolo|1 Bicchiere|Vino Bianco||Vino Marsala||Pepe||Sale
Agnello Ai Finocchietti,1500 G|Agnello|250 G|Finocchietti Selvatici|10 Cl|Olio D'oliva Extra-vergine||Farina 00|1/2|Cipolla|1|Peperoncino|2 Spicchi|Aglio||Prezzemolo|1 Presa|Timo||Vino Bianco Secco
Agnello Ai Funghi,1000 G|Spalla D'agnello Disossata Arrotolata|500 G|Funghi Porcini|25 G|Burro|25 Cl|Panna|1 Ciuffo|Prezzemolo|2 Spicchi|Aglio||Olio D'oliva||Sale||Pepe
Agnello Al Forno,1000 G|Agnello|400 G|Patate|200 G|Cipolla||Origano||Sale||Pepe|4 Cucchiai|Olio D'oliva
Agnello Al Forno Con Verdure,1000 G|Polpa Di Agnello|420 G|Pomodori|200 G|Formaggio Emmenthal|800 G|Patate|1|Cipolla|8 Cucchiai|Olio D'oliva||Timo||Sale||Pepe
Agnello Al Prezzemolo,3|Carré D'agnello Interi|1 Testa|Aglio|1 Mazzetto|Timo||Sale||Pepe|6 Cucchiai|Olio D'oliva||Per La Farcitura:|4 Spicchi|Aglio|20 Foglie|Prezzemolo|20 G|Mollica Di Pane Fresco|50 G|Burro|1 Pizzico|Sale
Agnello Al Rosmarino,1|Carré Di Agnello Di 1200 G||Pangrattato||Rosmarino|2 Ciuffi|Prezzemolo|1 Bicchiere|Vino Bianco||Aglio|1|Albume D'uovo||Olio D'oliva||Sale||Pepe
Agnello Al Vino Bianco,2000 G|Cosciotto D'agnello|50 Cl|Vino Bianco Secco|10 Foglie|Menta Fresca|1 Spicchio|Aglio|1/2 Bicchiere|Olio D'oliva|1|Limone||Sale||Pepe
Agnello All'aceto Balsamico Tradizionale,1|Coscio D'agnello Disossato Di 1200 G|1|Porro|1|Carota|1/2 Costa|Sedano||Aglio||Alloro|Alcune Bacche|Ginepro|4 Cucchiai|Olio D'oliva Extra-vergine||Vino Rosso|2 Cucchiai|Aceto Balsamico Tradizionale||Sale
Agnello Alla Cacciatora,800 G|Agnello|1/2 Bicchiere|Vino Bianco|40 G|Funghi Porcini Secchi|40 G|Olio D'oliva|40 G|Pomodori Pelati|1|Cipolla|1|Carota|1 Gambo|Sedano|10|Olive Nere||Sale||Pepe
Agnello Alla Nuorese Con Finocchietto Selvatico,3|Spalle Di Agnellino Da Latte (1000 G)|200 G|Finocchietto Selvatico Già Spuntato|75 G|Cipolla|5 Cl|Vino Bianco Secco|3 Cucchiai|Olio D'oliva||Sale||Pepe
Agnello Alla Paprica,1000 G|Polpa D'agnello|2|Cipolle Affettate|1 Spicchio|Aglio||Sale||Pepe|1 Cucchiaio|Paprica|1 Tazza|Yogurth||Per Servire:||Patate Lesse Affettate
Agnello Alla Toscana,1500 G|Spalla D'agnello|1000 G|Fagioli Bianchi Di Spagna|1|Cipolla|2|Carote|1 Bicchiere|Aceto Di Vino Bianco|25 Cl|Brodo|1 Rametto|Rosmarino|1 Rametto|Salvia|1 Mazzetto|Prezzemolo|1 Manciatina|Capperi|2 Spicchi|Aglio|1 Noce|Burro|1/2 Bicchiere|Olio D'oliva||Sale||Pepe
Agnello Alla Valtellinese,1500 G|Agnello|50 G|Burro|2 Spicchi|Aglio|2|Cipolle|2 Coste|Sedano|2|Carote|3 Foglie|Alloro|50 G|Concentrato Di Pomodoro|500 G|Cipolline|100 G|Pancetta|1 Tazza|Brodo|50 G|Farina|1/2 Bicchiere|Olio D'oliva||Sale||Pepe
Agnello Alle Olive,1500 G|Petto D'agnello A Pezzi|2 Spicchi|Aglio|100 G|Olive Greche Snocciolate|1 Mazzetto|Menta|1|Limone|50 Cl|Brodo|5 Cl|Olio D'oliva|2 Cucchiai|Salsa Di Pomodoro|2|Cipolle||Timo||Sale||Pepe
Agnello Alle Spezie,1000 G|Carne D'agnello|1/2 Cucchiaino|Menta Essiccata|1 Foglia|Alloro|5|Semi Di Coriandolo|1/2 Bicchiere|Olio D'oliva|1 Cucchiaino|Zucchero|2|Limoni|1 Pezzetto|Cannella|3|Chiodi Di Garofano|50 G|Sale Grosso||Pepe In Grani
Agnello Allo Spiedo,700 G|Agnello Disossato A Pezzi Grandi|1|Cipolla Tritata|1 Cucchiaino|Semi Di Coriandolo Pestati|2 Cucchiai|Aceto Di Vino Rosso|1 Cucchiaio|Olio D'oliva||Sale||Pepe
Agnello Allo Yogurth,1000 G|Agnello Magro|50 G|Burro|1 Cucchiaio|Farina|1/2|Cipolla|1|Carota|1 Costa|Sedano|1 Spicchio|Aglio|2|Tuorli D'uovo|1 Vasetto|Yogurth||Aneto||Alloro||Prezzemolo||Paprica||Sale||Pepe
Agnello Allo Zenzero,1|Cosciotto D'agnello Di 1500 G|10 Cl|Vino Bianco|50 G|Zenzero Fresco|100 G|Miele Fluido||Olio D'oliva||Sale||Pepe
Agnello Con Carciofi,1000 G|Agnello In Pezzi|50 G|Prosciutto Crudo|6|Carciofi|1/2|Cipolla|1 Spicchio|Aglio|1/2 Bicchiere|Vino Bianco|Poco|Succo Di Limone||Olio D'oliva|2 Cucchiai|Brodo||Sale||Pepe|1 Ciuffo|Prezzemolo Tritato
Agnello Con Carciofi (2),800 G|Agnello|4|Carciofi|2 Spicchi|Aglio||Prezzemolo|2|Tuorli D'uovo||Vino Bianco|1|Limone||Olio D'oliva Extra-vergine||Brodo Vegetale||Sale||Pepe
Agnello Con Carciofi In Fricassea,800 G|Agnello A Piccoli Pezzi|8|Carciofi|2|Uova|1|Limone (succo)||Aglio|1 Bicchiere|Vino Bianco||Olio D'oliva||Sale||Pepe
Agnello Con Finocchi,1|Agnello Da Latte|1|Cipolla||Finocchi Selvatici||Pomodori||Olio D'oliva||Sale
Agnello Con I Bamia,800 G|Agnello|60 G|Burro|1|Cipolla|2 Cucchiai|Concentrato Di Pomodoro|1 Cucchiaio|Paprica Dolce||Sale||Pepe||Brodo|15 G|Bamia|1|Limone (succo)
Agnello Con Le Olive,12|Costolettine D'agnello|150 G|Olive Nere Snocciolate|1 Pezzetto|Peperoncino Piccante|1|Limone (succo)|1 Pizzicone|Origano||Farina|7 Cucchiai|Olio D'oliva||Sale
Agnello Con Piselli,1000 G|Agnello In Pezzi|450 G|Piselli||Aglio|Poco|Rosmarino|1 Pezzetto|Lardo|1 Noce|Burro|Poca|Salsa Di Pomodoro||Olio D'oliva Extra-vergine||Sale||Pepe|1/2 Bicchiere|Vino Bianco (facoltativo)
Agnello Con Rape,1000 G|Agnello|60 G|Burro|1200 G|Rape Novelle|150 G|Carote|100 G|Cipolle||Dadi|40 G|Farina||Erbe Aromatiche
Agnello Con Ratatouille Di Verdure,600 G|Lombi D'agnello Disossati|100 G|Zucchine|100 G|Carote|100 G|Patate|16|Prugne Secche|4 Rametti|Timo|1|Scalogno|1 Cucchiaio|Maggiorana
Agnello Con Salsa D'aglio,600 G|Spezzatino D'agnello|300 G|Retina Di Maiale|400 G|Funghi Misti (o Funghi Gallinacci)|1 Ciuffo|Prezzemolo|3 Rametti|Timo|1 Rametto|Rosmarino|1/2|Cipolla|3 Cucchiai|Olio D'oliva Extra-vergine||Sale||Pepe||Vino Bianco Secco||Per La Salsa:|10 Cl|Latte|10 Cl|Brodo|40 G|Aglio||Sale||Pepe
Agnello Con Verdure,1|Cosciotto D'agnello Di 1000 G|1|Limone|250 G|Piselli Surgelati|200 G|Funghi Champignon||Prezzemolo||Olio||Sale||Pepe
Agnello Con Verdure (2),8|Costolette D'agnello|1|Melanzana|1|Zucchina|1|Peperone|1|Cipolla|200 G|Pomodori||Aglio||Rosmarino||Prezzemolo||Brodo Vegetale||Farina||Olio D'oliva Extra-vergine||Sale
Agnello In Crosta,1|Spalla D'agnello Di Circa 1000 G|10 G|Mollica Di Pane|2 Rametti|Timo|3 Rametti|Prezzemolo|10 G|Burro||Sale||Pepe||Per La Crosta:|220 G|Sale Grosso|240 G|Farina|1|Uovo Intero|1|Tuorlo D'uovo|1 Pizzico|Timo|1 Pizzico|Rosmarino||Sale
Agnello In Salsa Al Limone,1000 G|Agnello Sardo|2 Spicchi|Aglio|1/2 Mazzo|Prezzemolo|1 Cucchiaio|Olio D'oliva Extra-vergine|2|Uova|1|Limone||Sale
Agnello In Salsa Appetitosa,1000 G|Quarto Anteriore D'agnello A Tocchetti|50 G|Burro|2 Cucchiai|Olio D'oliva|4 Cucchiai|Farina|1/2|Limone (succo)|1 Spicchio|Aglio|1 Ciuffetto|Prezzemolo|1|Limone (scorza Grattugiata)(facoltativo)|5|Filetti D'acciughe Sott'olio||Vino Bianco Secco|25 Cl|Panna||Brodo Di Dado||Sale||Pepe
Agnello In Teglia,1|Cosciotto D'agnello Di 1000 G||Burro||Olio D'oliva||Timo|Alcune Bacche|Ginepro|1|Cipolla|1 Spicchio|Aglio||Prezzemolo|1|Limone (scorza)|1 Costa|Sedano|1/2 Bicchiere|Aceto Di Vino|1 Bicchiere|Vino Bianco||Sale||Brodo
Agnello Marinato,1|Cosciotto D'agnello Di 1500 G|25 Cl|Acqua|2 Cucchiai|Aceto Di Vino|2 Foglie|Alloro|2|Cipolle Affettate|4 Grani|Pepe|1 Ciuffo|Prezzemolo|1/2 Cucchiaino|Timo|30 G|Lardo|200 G|Pomodori Pelati|3|Pomodori Freschi
Agnello Saporito,1000 G|Cosciotto D'agnello Tagliato A Pezzi||Olio D'oliva|1|Cipolla|4|Pomodori Pelati|1 Spicchio|Aglio||Salvia||Sale||Pepe
Agnello Sotto Sale,2000 G|Carne D'agnello Disossata|1 Rametto|Timo|7 Bacche|Ginepro|3 Foglie|Alloro|500 G|Sale Grosso|1 Manciatina|Pepe In Grani
